"Contestant Title","Status","Contest Category","Votes","Created Date","Description","Title","Music/Video URL","Author Email","Author Name"
"Testing","publish","Actress Contest","","2015-06-02","Testing","","","testercubes@gmail.com","mvincik"
"Testing 2","publish","Actress Contest","0","2015-06-02","Testing 2","","","testercubes@gmail.com","mvincik"
"TEsting 3","publish","Actress Contest","0","2015-06-04","TEsting 3","","","testercubes@gmail.com","mvincik"
"Testing 4","publish","Actress Contest","0","2015-06-04","Testing 4","","","testercubes@gmail.com","mvincik"
"sample","publish","Actress Contest","0","2015-06-10","<strong>sample</strong>","","","testercubes@gmail.com","mvincik"
"Testing","publish","Actress Contest","0","2015-06-10","<strong>Testing </strong><em>sample</em> sample testing","","","testercubes@gmail.com","mvincik"
"Microwave bowl holder","publish","Actress Contest","0","2015-06-10","<strong>Testing </strong><em>sample</em> sample testing","","","testercubes@gmail.com","mvincik"
"Testing","publish","Actress Contest","0","2015-09-01","Testing","","","testercubes@gmail.com","mvincik"
"Testing","publish","Actress Contest","0","2015-09-01","Testing","","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh","Rakul PreethSingh","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh1","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh1","Rakul PreethSingh1","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh2","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh2","Rakul PreethSingh2","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh3","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh3","Rakul PreethSingh3","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh3","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh3","Rakul PreethSingh3","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh4","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh4","Rakul PreethSingh4","","testercubes@gmail.com","mvincik"
"Testing","publish","Actress Contest","0","2015-09-03","Testing","Testing ","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh5","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh5","Rakul PreethSingh5","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh6","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh6","Rakul PreethSingh6","","testercubes@gmail.com","mvincik"
"Rakul PreethSingh7","publish","Actress Contest","0","2015-09-03","Rakul PreethSingh7","Rakul PreethSingh7","","testercubes@gmail.com","mvincik"
